One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation:Software Developers(SOC Code151252),,,,,,,,,,,,,,,,,
Period:May 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
"Asheville, NC(0011700)",         850,         5.5,       52.40,      109000,         3.9,       27.16,       38.46,       50.69,       61.85,       72.97,       56490,       80000,      105430,      128640,      151780,       4.346,        0.42
"Athens-Clarke County, GA(0012020)",         230,        10.0,       45.05,       93710,         3.8,       24.59,       32.16,       40.62,       55.21,       73.00,       51150,       66890,       84490,      114840,      151830,       2.613,        0.25
"Atlanta-Sandy Springs-Roswell, GA(0012060)",       41920,         3.8,       58.96,      122630,         1.2,       37.37,       48.59,       59.68,       66.57,       80.77,       77720,      101060,      124130,      138460,      167990,      15.368,        1.48
"Atlantic City-Hammonton, NJ(0012100)",         440,         8.8,       56.31,      117130,         3.2,       32.20,       39.99,       51.25,       66.41,       85.85,       66980,       83180,      106590,      138130,      178580,       3.571,        0.34
"Auburn-Opelika, AL(0012220)",         230,         7.4,       42.53,       88460,         4.2,       21.47,       30.17,       39.77,       51.65,       63.77,       44670,       62750,       82730,      107430,      132640,       3.721,        0.36
"Augusta-Richmond County, GA-SC(0012260)",         520,         6.3,       54.66,      113690,         2.7,       28.44,       39.77,       52.50,       63.27,       81.26,       59150,       82710,      109210,      131600,      169020,       2.311,        0.22
"Austin-Round Rock, TX(0012420)",       24040,         5.9,       56.91,      118370,         4.4,       32.58,       41.13,       52.72,       66.77,       81.95,       67770,       85540,      109650,      138880,      170450,      20.423,        1.97
"Bakersfield, CA(0012540)",         810,         4.6,       64.70,      134580,         1.5,       39.11,       50.41,       63.12,       76.68,       84.92,       81360,      104850,      131300,      159490,      176640,       2.503,        0.24
Balance of Lower Peninsula of Michigan nonmetropolitan area(2600004),         670,         6.0,       48.77,      101430,         1.1,       29.68,       38.92,       47.68,       58.76,       67.79,       61720,       80940,       99170,      122210,      141000,       2.563,        0.25
"Baltimore-Columbia-Towson, MD(0012580)",       14230,         3.3,       67.24,      139870,         2.2,       39.53,       50.00,       63.61,       82.86,      103.91,       82230,      104000,      132320,      172360,      216140,      10.991,        1.06
"Bangor, ME(0070750)",         120,        10.8,       53.67,      111640,         6.2,       32.33,       40.35,       54.38,       60.84,       79.17,       67240,       83920,      113120,      126550,      164670,       1.820,        0.18
"Barnstable Town, MA(0070900)",         400,         9.9,       58.78,      122270,         2.8,       39.64,       48.13,       60.87,       68.11,       79.71,       82440,      100120,      126610,      141660,      165790,       3.965,        0.38
"Baton Rouge, LA(0012940)",         710,         8.4,       54.96,      114310,         2.6,       32.33,       42.26,       51.72,       64.98,       76.66,       67240,       87900,      107580,      135160,      159450,       1.851,        0.18
"Battle Creek, MI(0012980)",         240,        11.1,       45.05,       93700,         1.2,       28.65,       36.42,       46.61,       49.72,       63.88,       59590,       75740,       96940,      103420,      132870,       4.858,        0.47
"Bay City, MI(0013020)",          60,         7.9,       46.56,       96840,         1.5,       27.16,       37.50,       49.61,       58.29,       64.08,       56490,       78000,      103200,      121250,      133280,       1.807,        0.17
"Beaumont-Port Arthur, TX(0013140)",         240,        10.8,       50.75,      105560,         2.8,       24.28,       37.16,       46.93,       62.01,       77.28,       50500,       77280,       97620,      128970,      160740,       1.560,        0.15
"Bellingham, WA(0013380)",         710,        10.0,       61.04,      126960,         2.5,       30.22,       44.36,       60.54,       73.60,       89.65,       62860,       92270,      125930,      153090,      186470,       8.022,        0.77
"Bend-Redmond, OR(0013460)",         770,        13.9,       58.56,      121810,        10.3,       30.51,       45.50,       49.94,       65.38,       84.95,       63460,       94640,      103870,      135990,      176700,       8.855,        0.85
Big Thicket Region of Texas nonmetropolitan area(4800003),         210,         9.1,       48.50,      100880,         7.5,       26.05,       32.67,       44.88,       62.07,       79.29,       54180,       67960,       93350,      129110,      164930,       2.023,        0.19
"Billings, MT(0013740)",         170,        15.5,       52.56,      109320,         8.2,       30.80,       38.77,       48.04,       58.51,       83.87,       64060,       80650,       99930,      121710,      174460,       1.954,        0.19
"Binghamton, NY(0013780)",         950,         4.3,       52.65,      109510,         3.1,       28.40,       40.24,       52.52,       64.81,       80.82,       59060,       83700,      109230,      134800,      168110,      10.148,        0.98
"Birmingham-Hoover, AL(0013820)",        3560,         3.6,       49.05,      102020,         1.7,       26.90,       35.64,       48.24,       61.65,       74.39,       55950,       74140,      100330,      128220,      154730,       7.115,        0.69
"Bismarck, ND(0013900)",         410,         9.0,       39.49,       82150,         5.8,       18.99,       26.34,       36.54,       46.89,       63.75,       39500,       54790,       76010,       97530,      132610,       5.757,        0.55
"Blacksburg-Christiansburg-Radford, VA(0013980)",         440,         7.5,       49.80,      103580,         2.1,       30.16,       37.99,       47.73,       63.23,       76.32,       62740,       79010,       99280,      131520,      158740,       6.157,        0.59
"Bloomington, IN(0014020)",         250,        10.6,       47.88,       99600,         1.6,       29.69,       37.34,       49.15,       61.68,       65.26,       61740,       77670,      102230,      128290,      135750,       3.434,        0.33
"Bloomsburg-Berwick, PA(0014100)",         130,         5.7,       51.16,      106400,         1.7,       32.09,       43.31,       50.94,       59.09,       67.17,       66740,       90080,      105940,      122910,      139710,       3.177,        0.31
"Boise City, ID(0014260)",        2980,         6.1,       48.72,      101340,         2.4,       26.99,       36.31,       48.78,       61.80,       72.14,       56140,       75520,      101450,      128550,      150050,       8.326,        0.80
"Boston-Cambridge-Nashua, MA-NH(0071650)",       55590,         2.5,       65.16,      135530,         0.9,       39.91,       50.23,       64.20,       80.42,       86.78,       83020,      104480,      133540,      167270,      180490,      20.560,        1.98
"Boulder, CO(0014500)",        6590,         6.2,       81.61,      169750,         1.7,       40.98,       51.15,       65.39,       86.64,           -,       85240,      106390,      136010,      180210,           -,      34.338,        3.31
"Bowling Green, KY(0014540)",          80,        27.8,       46.83,       97400,         4.4,       30.36,       37.83,       40.06,       59.85,       61.37,       63160,       78680,       83320,      124480,      127650,       1.062,        0.10
"Bremerton-Silverdale, WA(0014740)",         540,        18.6,       63.91,      132930,         3.4,       35.90,       49.45,       71.03,       75.41,       86.55,       74670,      102860,      147740,      156840,      180010,       5.974,        0.58
"Bridgeport-Stamford-Norwalk, CT(0071950)",        4450,         6.2,       62.80,      130610,         1.8,       38.49,       49.75,       62.26,       78.31,       94.84,       80070,      103470,      129490,      162880,      197270,      11.312,        1.09
"Brownsville-Harlingen, TX(0015180)",         260,         8.0,       49.26,      102460,         1.8,       28.48,       39.21,       50.63,       58.54,       62.94,       59240,       81560,      105320,      121770,      130900,       1.737,        0.17
"Brunswick, GA(0015260)",          30,        21.1,       54.27,      112870,         7.4,       27.14,       45.43,       51.24,       61.45,       71.44,       56460,       94500,      106580,      127820,      148590,       0.747,        0.07
"Buffalo-Cheektowaga-Niagara Falls, NY(0015380)",        2810,         2.6,       52.56,      109320,         1.3,       30.24,       39.18,       51.14,       63.42,       77.97,       62910,       81500,      106360,      131920,      162180,       5.451,        0.53
"Burlington, NC(0015500)",         270,         6.1,       51.41,      106940,         2.9,       29.74,       36.52,       51.87,       64.22,       68.49,       61860,       75960,      107890,      133580,      142450,       4.203,        0.41
"Burlington-South Burlington, VT(0072400)",         930,        11.1,       48.79,      101480,         3.4,       29.02,       38.05,       48.27,       59.75,       67.44,       60370,       79140,      100410,      124280,      140280,       7.888,        0.76
"California-Lexington Park, MD(0015680)",         720,         5.8,       61.03,      126940,         1.3,       40.05,       49.23,       60.40,       70.12,       83.02,       83290,      102400,      125620,      145840,      172680,      15.368,        1.48
"Canton-Massillon, OH(0015940)",         450,         6.8,       46.81,       97370,         1.8,       29.22,       37.26,       46.23,       56.87,       64.57,       60770,       77490,       96160,      118290,      134300,       2.799,        0.27
"Cape Coral-Fort Myers, FL(0015980)",        1060,        14.6,       53.05,      110350,         1.7,       29.37,       38.40,       50.37,       64.66,       81.87,       61100,       79880,      104760,      134490,      170290,       3.713,        0.36
"Cape Girardeau, MO-IL(0016020)",         120,        27.1,       35.12,       73060,         3.5,       20.68,       21.87,       31.11,       42.52,       57.10,       43000,       45490,       64700,       88450,      118770,       2.749,        0.26
Capital/Northern New York nonmetropolitan area(3600001),         120,        13.1,       47.99,       99820,         4.6,       26.17,       31.28,       44.69,       61.99,       76.13,       54440,       65070,       92960,      128950,      158350,       0.857,        0.08
"Carbondale-Marion, IL(0016060)",          70,        14.7,       44.15,       91830,         4.1,       19.40,       27.98,       45.07,       57.38,       65.89,       40340,       58200,       93740,      119360,      137050,       1.279,        0.12
"Carson City, NV(0016180)",          70,        10.5,       54.34,      113030,         6.1,       36.94,       39.89,       46.33,       62.25,       87.73,       76830,       82970,       96370,      129480,      182480,       2.349,        0.23
"Casper, WY(0016220)",          80,        27.2,       49.78,      103530,         6.0,       26.65,       30.98,       49.64,       55.06,       97.09,       55430,       64430,      103240,      114510,      201950,       2.078,        0.20
"Cedar Rapids, IA(0016300)",        1190,         6.9,       49.38,      102700,         1.7,       31.02,       38.67,       49.82,       60.40,       65.23,       64530,       80440,      103630,      125630,      135670,       8.533,        0.82
Central East New York nonmetropolitan area(3600006),         310,        14.5,       52.71,      109630,         3.3,       24.23,       38.10,       50.37,       66.41,       87.83,       50400,       79260,      104770,      138140,      182680,       2.038,        0.20
Central Indiana nonmetropolitan area(1800002),          90,        27.7,       43.72,       90930,         2.7,       27.51,       34.44,       39.77,       51.49,       61.83,       57230,       71620,       82720,      107090,      128600,       0.557,        0.05
Central Kentucky nonmetropolitan area(2100003),         380,         7.2,       44.75,       93070,         4.4,       27.55,       35.90,       39.35,       51.02,       63.23,       57310,       74670,       81850,      106110,      131510,       2.139,        0.21
Central Louisiana nonmetropolitan area(2200002),          70,        17.4,       44.52,       92600,         2.3,       27.63,       33.95,       43.59,       49.36,       66.84,       57460,       70610,       90670,      102670,      139020,       0.888,        0.09
Central Missouri nonmetropolitan area(2900001),         230,        10.1,       45.62,       94890,         5.5,       25.25,       32.89,       47.37,       57.31,       62.51,       52530,       68420,       98520,      119210,      130020,       1.447,        0.14
Central New Hampshire nonmetropolitan area(3300002),         220,         7.9,       51.85,      107850,         2.6,       31.94,       40.69,       50.16,       61.85,       74.42,       66430,       84630,      104330,      128650,      154790,       2.458,        0.24
Central Oregon nonmetropolitan area(4100007),         330,        13.4,       61.43,      127770,         3.3,       33.11,       45.76,       59.79,       75.46,       90.54,       68880,       95180,      124360,      156960,      188330,       5.165,        0.50
Central Utah nonmetropolitan area(4900007),         140,        12.2,       49.34,      102630,         7.1,       19.01,       33.09,       47.46,       62.36,       82.70,       39530,       68830,       98720,      129710,      172010,       2.511,        0.24
"Chambersburg-Waynesboro, PA(0016540)",         190,        12.1,       52.29,      108760,         2.4,       34.54,       40.10,       49.46,       59.59,       75.68,       71840,       83410,      102880,      123950,      157410,       3.253,        0.31
"Champaign-Urbana, IL(0016580)",         860,         3.5,       54.47,      113300,         2.2,       31.14,       39.09,       50.27,       65.28,       83.80,       64770,       81300,      104570,      135780,      174300,       8.373,        0.81
"Charleston, WV(0016620)",         300,        13.2,       42.34,       88070,         3.6,       25.38,       29.44,       39.15,       49.00,       63.72,       52790,       61230,       81430,      101920,      132540,       2.978,        0.29
"Charleston-North Charleston, SC(0016700)",        2360,         7.7,       53.87,      112060,         2.7,       33.59,       38.08,       52.46,       60.44,       86.95,       69880,       79210,      109110,      125720,      180860,       6.616,        0.64
"Charlotte-Concord-Gastonia, NC-SC(0016740)",       17900,         4.0,       61.75,      128440,         1.3,       37.97,       49.99,       63.24,       69.28,       82.69,       78980,      103980,      131550,      144100,      172000,      14.097,        1.36
"Charlottesville, VA(0016820)",        1540,         5.0,       56.05,      116580,         1.2,       32.73,       41.91,       52.01,       66.10,       81.98,       68080,       87170,      108170,      137490,      170510,      14.049,        1.35
"Chattanooga, TN-GA(0016860)",        1090,        10.4,       50.16,      104330,         3.8,       25.02,       37.03,       48.85,       61.30,       71.84,       52030,       77010,      101610,      127500,      149420,       4.382,        0.42
"Cheyenne, WY(0016940)",         220,        13.7,       46.39,       96480,         3.0,       29.44,       32.55,       47.60,       51.74,       67.73,       61230,       67700,       99010,      107610,      140880,       4.731,        0.46
"Chicago-Naperville-Elgin, IL-IN-WI(0016980)",       40840,         3.2,       59.54,      123830,         1.3,       36.56,       48.12,       60.70,       68.14,       82.42,       76050,      100100,      126260,      141720,      171430,       9.247,        0.89
"Chico, CA(0017020)",         120,        20.8,       58.47,      121620,         2.6,       34.01,       45.20,       59.01,       72.13,       78.50,       70740,       94010,      122730,      150030,      163280,       1.508,        0.15
"Cincinnati, OH-KY-IN(0017140)",        9070,         2.8,       52.43,      109060,         1.6,       31.42,       39.75,       50.26,       62.28,       73.87,       65360,       82680,      104540,      129550,      153660,       8.549,        0.82
"Clarksville, TN-KY(0017300)",         220,        10.6,       50.20,      104420,         4.0,       28.15,       36.16,       46.91,       62.25,       70.41,       58550,       75210,       97570,      129470,      146460,       2.346,        0.23
"Cleveland, TN(0017420)",          90,         5.6,       48.89,      101690,         4.6,       27.93,       34.84,       46.06,       59.48,       69.85,       58090,       72460,       95800,      123720,      145290,       2.090,        0.20
"Cleveland-Elyria, OH(0017460)",        8830,         6.4,       54.23,      112800,         1.2,       32.85,       40.07,       50.52,       62.90,       76.54,       68330,       83350,      105090,      130830,      159190,       8.943,        0.86
Coast Oregon nonmetropolitan area(4100006),         190,        27.0,       53.44,      111150,         3.2,       26.34,       37.34,       49.06,       63.24,       78.57,       54790,       77670,      102040,      131540,      163430,       1.649,        0.16
Coastal Plains Region of Texas nonmetropolitan area(4800006),         180,         8.5,       50.68,      105410,         4.9,       22.06,       29.74,       45.47,       64.97,       87.34,       45890,       61870,       94580,      135140,      181670,       1.228,        0.12
"Coeur d'Alene, ID(0017660)",         220,        31.3,       46.75,       97240,         6.4,       19.35,       34.76,       47.25,       62.60,       76.63,       40250,       72310,       98270,      130200,      159380,       3.192,        0.31
"College Station-Bryan, TX(0017780)",         550,         5.9,       44.14,       91820,         1.5,       28.64,       33.22,       41.67,       53.50,       61.51,       59570,       69100,       86680,      111280,      127950,       4.428,        0.43
"Colorado Springs, CO(0017820)",        5440,         4.4,       63.00,      131040,         1.3,       38.38,       49.13,       63.36,       78.67,       86.58,       79840,      102190,      131790,      163640,      180090,      17.974,        1.73
"Columbia, MO(0017860)",         540,         7.6,       44.13,       91790,         2.1,       22.26,       36.55,       45.34,       55.21,       61.20,       46300,       76020,       94310,      114830,      127300,       5.639,        0.54
"Columbia, SC(0017900)",        1380,         8.5,       54.76,      113890,        10.7,       32.51,       39.92,       52.49,       65.57,       77.59,       67610,       83030,      109180,      136390,      161380,       3.688,        0.36
"Columbus, GA-AL(0017980)",        1590,         4.5,       50.10,      104200,         1.9,       33.20,       40.19,       50.69,       59.33,       63.59,       69060,       83600,      105430,      123410,      132270,      14.011,        1.35
"Columbus, IN(0018020)",         140,         9.5,       43.53,       90530,         2.7,       29.41,       37.29,       41.62,       48.95,       57.03,       61170,       77560,       86570,      101810,      118620,       2.824,        0.27
"Columbus, OH(0018140)",       12460,         3.1,       54.67,      113700,         0.9,       36.61,       43.47,       52.29,       64.22,       73.32,       76150,       90420,      108760,      133580,      152500,      11.744,        1.13
Connecticut nonmetropolitan area(0900001),          70,        18.8,       50.30,      104610,         3.9,       30.27,       37.89,       47.08,       60.40,       71.70,       62970,       78800,       97930,      125640,      149140,       2.193,        0.21
"Corpus Christi, TX(0018580)",         300,        14.6,       50.14,      104280,         2.5,       28.72,       38.04,       47.34,       60.28,       75.37,       59740,       79120,       98460,      125390,      156770,       1.668,        0.16
"Corvallis, OR(0018700)",         390,         5.1,       55.80,      116060,         4.2,       28.03,       39.80,       52.58,       67.33,       80.04,       58300,       82790,      109370,      140050,      166480,      10.698,        1.03
"Crestview-Fort Walton Beach-Destin, FL(0018880)",        1020,         4.8,       54.60,      113560,         1.6,       31.54,       39.58,       51.32,       64.04,       80.72,       65600,       82320,      106740,      133200,      167900,       8.586,        0.83
"Cumberland, MD-WV(0019060)",         110,        20.0,       46.14,       95980,         4.8,       27.41,       37.22,       43.47,       51.99,       61.85,       57020,       77430,       90420,      108130,      128660,       3.045,        0.29
"Dallas-Fort Worth-Arlington, TX(0019100)",       50370,         7.1,       57.94,      120520,         1.1,       37.18,       47.76,       59.13,       66.15,       80.15,       77320,       99340,      122990,      137590,      166720,      13.238,        1.28
"Dalton, GA(0019140)",         410,        12.9,       46.49,       96710,         7.2,       24.92,       27.97,       45.09,       59.29,       71.85,       51830,       58180,       93790,      123330,      149450,       6.312,        0.61
"Danbury, CT(0072850)",         470,        15.7,       55.13,      114670,         2.6,       31.55,       40.07,       50.82,       66.46,       80.61,       65630,       83350,      105710,      138240,      167670,       6.239,        0.60
"Danville, IL(0019180)",          70,        11.4,       49.52,      103000,         2.6,       25.61,       37.97,       46.46,       59.42,       72.75,       53270,       78970,       96640,      123590,      151320,       2.583,        0.25
"Daphne-Fairhope-Foley, AL(0019300)",         160,         7.2,       46.98,       97730,         3.7,       23.10,       31.62,       45.42,       59.18,       75.52,       48050,       65770,       94480,      123100,      157090,       2.018,        0.19
"Davenport-Moline-Rock Island, IA-IL(0019340)",         920,         3.8,       50.81,      105680,         1.1,       31.62,       38.32,       50.50,       60.14,       72.47,       65760,       79700,      105040,      125100,      150740,       5.192,        0.50
"Dayton, OH(0019380)",        3490,         3.8,       48.85,      101600,         1.3,       30.00,       38.11,       48.54,       60.34,       67.63,       62400,       79260,      100960,      125500,      140670,       9.604,        0.93
"Decatur, AL(0019460)",         150,        10.8,       46.66,       97050,         5.8,       26.50,       37.49,       46.26,       58.89,       64.96,       55130,       77980,       96210,      122480,      135110,       2.622,        0.25
"Decatur, IL(0019500)",         100,        19.0,       52.30,      108790,         3.8,       33.55,       41.14,       48.21,       62.35,       72.53,       69780,       85570,      100270,      129680,      150860,       2.139,        0.21
"Deltona-Daytona Beach-Ormond Beach, FL(0019660)",         540,        17.3,       51.74,      107610,         3.7,       28.98,       36.04,       48.44,       62.42,       77.83,       60280,       74970,      100760,      129840,      161890,       2.603,        0.25
"Denver-Aurora-Lakewood, CO(0019740)",       25060,         7.3,       62.86,      130740,         1.2,       38.92,       49.40,       62.26,       76.24,       83.80,       80960,      102750,      129500,      158570,      174300,      16.155,        1.56
"Des Moines-West Des Moines, IA(0019780)",        4700,         6.8,       49.76,      103490,         3.4,       32.45,       40.20,       50.95,       59.98,       66.77,       67500,       83610,      105970,      124750,      138890,      12.674,        1.22
"Detroit-Warren-Dearborn, MI(0019820)",       23050,         2.3,       51.71,      107570,         0.9,       33.68,       40.60,       50.04,       62.24,       68.19,       70050,       84450,      104090,      129460,      141830,      12.348,        1.19
"Dothan, AL(0020020)",          90,         8.9,       42.23,       87830,         2.8,       23.57,       30.68,       40.05,       49.74,       67.75,       49030,       63820,       83310,      103450,      140920,       1.516,        0.15
"Dover, DE(0020100)",         260,        23.4,       51.37,      106850,         8.9,       31.38,       37.60,       49.09,       61.82,       86.12,       65270,       78200,      102110,      128590,      179120,       3.975,        0.38
"Dover-Durham, NH-ME(0073050)",         740,         4.9,       56.73,      118000,         0.8,       37.01,       41.87,       56.12,       65.12,       81.05,       76980,       87090,      116730,      135440,      168580,      14.680,        1.41
"Dubuque, IA(0020220)",         220,         6.1,       45.15,       93920,         2.4,       30.87,       37.54,       40.92,       51.77,       63.10,       64210,       78070,       85110,      107670,      131240,       3.835,        0.37
"Duluth, MN-WI(0020260)",         560,        13.3,       51.94,      108020,         4.0,       33.95,       38.30,       47.71,       61.91,       75.29,       70610,       79660,       99230,      128770,      156610,       4.558,        0.44
"Durham-Chapel Hill, NC(0020500)",        8330,         4.7,       63.77,      132640,         3.4,       40.23,       49.62,       62.50,       71.27,       85.22,       83680,      103200,      129990,      148230,      177250,      25.421,        2.45
East Arkansas nonmetropolitan area(0500002),          40,        25.2,       46.67,       97070,        11.2,       15.41,       31.42,       46.57,       65.75,       71.71,       32050,       65350,       96870,      136750,      149150,       0.673,        0.06
East Central Illinois nonmetropolitan area(1700003),         340,         7.5,       49.49,      102940,         3.9,       25.81,       35.33,       48.14,       60.12,       77.18,       53680,       73490,      100120,      125040,      160540,       2.949,        0.28
East Georgia nonmetropolitan area(1300003),          90,         9.3,       46.47,       96660,         2.9,       28.12,       32.40,       44.19,       58.14,       66.02,       58490,       67400,       91920,      120920,      137310,       1.086,        0.10
East Kentucky nonmetropolitan area(2100004),          60,        30.8,       44.87,       93340,         6.0,       26.80,       35.79,       39.46,       56.40,       68.32,       55740,       74440,       82070,      117320,      142110,       0.601,        0.06
East North Dakota nonmetropolitan area(3800007),          70,        18.4,       40.31,       83850,         5.2,       19.18,       26.02,       36.74,       50.57,       68.29,       39890,       54130,       76420,      105190,      142040,       1.179,        0.11
East South Dakota nonmetropolitan area(4600002),         300,         7.3,       39.85,       82880,         3.2,       29.42,       32.84,       38.46,       45.91,       50.47,       61190,       68310,       80000,       95490,      104970,       2.318,        0.22
"East Stroudsburg, PA(0020700)",          70,        12.6,       48.79,      101490,         4.0,       33.03,       35.44,       44.31,       59.23,       79.30,       68700,       73720,       92160,      123200,      164950,       1.234,        0.12
East Tennessee nonmetropolitan area(4700004),         180,         6.1,       49.06,      102050,         4.5,       22.12,       35.68,       44.59,       63.51,       77.06,       46020,       74220,       92760,      132090,      160290,       1.323,        0.13
Eastern New Mexico nonmetropolitan area(3500007),         140,        21.1,       51.72,      107580,        11.1,       31.70,       38.37,       48.16,       60.43,       79.45,       65930,       79800,      100170,      125700,      165260,       0.914,        0.09
Eastern Ohio nonmetropolitan area(3900003),         150,        14.0,       52.03,      108210,         4.8,       25.93,       37.49,       48.61,       60.81,       79.33,       53930,       77970,      101100,      126480,      165010,       1.170,        0.11
Eastern Oregon nonmetropolitan area(4100008),         250,        13.8,       64.46,      134070,         5.7,       37.34,       51.29,       63.50,       77.53,       83.99,       77670,      106670,      132080,      161260,      174700,       3.461,        0.33
Eastern Sierra-Mother Lode Region of California nonmetropolitan area(0600006),          40,        11.3,       58.84,      122390,         4.6,       31.87,       47.94,       59.21,       75.14,       79.13,       66290,       99720,      123160,      156300,      164590,       0.653,        0.06
Eastern Utah nonmetropolitan area(4900006),         240,         7.7,       51.61,      107340,         7.7,       15.08,       32.33,       50.01,       74.62,       81.20,       31370,       67240,      104020,      155210,      168900,       2.838,        0.27
Eastern Washington nonmetropolitan area(5300007),         520,         9.7,       59.38,      123500,         2.4,       33.17,       43.72,       60.58,       73.67,       78.56,       68980,       90940,      126000,      153230,      163400,       5.248,        0.51
Eastern Wyoming nonmetropolitan area(5600007),         170,        20.0,       52.49,      109180,        20.5,       27.51,       39.91,       54.80,       55.86,       87.57,       57230,       83010,      113990,      116190,      182150,       2.075,        0.20
Eastern and Southern Colorado nonmetropolitan area(0800001),          80,         7.8,       59.47,      123690,         3.9,       30.84,       37.04,       59.61,       74.95,       98.49,       64140,       77040,      123980,      155900,      204850,       1.205,        0.12
"Eau Claire, WI(0020740)",         450,         6.2,       43.78,       91060,         1.4,       28.57,       33.83,       39.98,       51.07,       62.33,       59430,       70360,       83150,      106220,      129640,       5.425,        0.52
"El Centro, CA(0020940)",          40,        12.1,       54.19,      112710,         2.8,       31.81,       43.41,       50.91,       62.41,       81.07,       66170,       90300,      105890,      129820,      168620,       0.619,        0.06
"El Paso, TX(0021340)",         740,         5.6,       47.05,       97870,         1.8,       25.27,       33.73,       44.30,       59.59,       65.20,       52570,       70150,       92140,      123950,      135620,       2.333,        0.22
"Elizabethtown-Fort Knox, KY(0021060)",         170,        14.5,       46.92,       97590,         2.9,       33.79,       39.27,       46.33,       47.78,       65.55,       70290,       81670,       96370,       99390,      136340,       3.253,        0.31
